n,count
1136,1
1138,1
1139,1
1140,1
1141,1
1153,1
1158,1
1164,2
1170,1
1175,1
1191,1
1192,1
1197,1
1202,1
1208,1
1213,1
1217,1
1220,1
1225,1
1229,1
1233,2
1241,1
1244,1
1269,1
1273,1
1275,1
1276,1
1307,2
1318,1
1321,1
1325,1
1353,1
1385,2
1389,1
1391,1
1402,1
1416,1
1434,1
1453,1
1488,1
1513,1
1524,1
1525,1
1527,2
1542,1
1545,1
1559,1
1593,1
1600,1
1615,1
1626,1
1722,1
1793,1
1847,1
1933,1
2046,1
2153,1
2192,1
2216,1
2380,1
3236,1
