cluster,n,m,modularity,cpm_score,connectivity,ktruss_vals
17443,91,181,1.966233904329509e-06,140.05,1.0,3.0
2281,148,565,6.137526170040857e-06,456.22,1.0,6.0
74392,40,58,6.300548109838887e-07,50.2,1.0,4.0
77889,39,60,6.517694513963873e-07,52.59,1.0,3.0
154455,26,28,3.0417735117413826e-07,24.75,1.0,2.0
164326,25,28,3.041666475849156e-07,25.0,1.0,3.0
15956,96,231,2.5093135593544465e-06,185.4,1.0,5.0
94471,35,42,4.562639280011565e-07,36.05,1.0,2.0
81791,38,69,7.495685032709816e-07,61.97,1.0,3.0
245153,17,21,2.2813125613799199e-07,19.64,1.0,2.0
144956,27,48,5.214266162123878e-07,44.49,1.0,3.0
45208,53,97,1.0537477957269883e-06,83.22,1.0,2.0
82003,38,40,4.3453953196646165e-07,32.97,1.0,2.0
98665,34,41,4.4539212673558435e-07,35.39,1.0,3.0
71366,41,79,8.581960015979864e-07,70.8,1.0,4.0
2076,163,1087,1.1807947061209409e-05,954.97,2.0,2.0
4316,103,205,2.2266380275170437e-06,152.47,1.0,5.0
49743,50,113,1.2275453330369896e-06,100.75,1.0,2.0
75218,40,63,6.843811628128541e-07,55.2,1.0,2.0
60210,45,58,6.300718234072626e-07,48.1,1.0,4.0
252048,16,17,1.8467589129069076e-07,15.8,1.0,3.0
1899,183,462,5.018603132782797e-06,295.47,1.0,5.0
35801,60,111,1.2058301744438225e-06,93.3,1.0,5.0
56083,47,53,5.757623560423497e-07,42.19,1.0,3.0
183823,23,24,2.607173044082715e-07,21.47,1.0,2.0
51885,49,61,6.626602926962251e-07,49.24,1.0,2.0
49961,50,61,6.626479403583759e-07,48.75,1.0,3.0
44897,53,78,8.473520848134741e-07,64.22,1.0,3.0
89662,36,58,6.300756951724955e-07,51.7,1.0,3.0
89652,36,48,5.21445312228741e-07,41.7,1.0,3.0
123325,30,31,3.367648795475564e-07,26.65,1.0,2.0
48263,51,70,7.604405361438103e-07,57.25,1.0,3.0
27188,70,108,1.1732445956134233e-06,83.85,1.0,4.0
63337,44,50,5.431748563764297e-07,40.54,1.0,3.0
30863,65,99,1.0754510776180499e-06,78.2,1.0,4.0
136839,28,34,3.6935708441078406e-07,30.22,1.0,3.0
42010,55,74,8.03870559793763e-07,59.15,1.0,4.0
58015,46,67,7.278496335919599e-07,56.65,1.0,3.0
3851,110,216,2.346411460851592e-06,156.05,2.0,2.0
136764,28,43,4.6712147025533104e-07,39.22,1.0,4.0
146136,27,30,3.2590045032621215e-07,26.49,1.0,3.0
138325,28,48,5.214390132489622e-07,44.22,1.0,2.0
130445,29,49,5.323052127168543e-07,44.94,1.0,2.0
68760,42,52,5.648981608475992e-07,43.39,1.0,2.0
68323,42,60,6.517840008167309e-07,51.39,1.0,5.0
163327,25,39,4.236697805873837e-07,36.0,1.0,3.0
62793,44,52,5.648959162634889e-07,42.54,1.0,3.0
3215,120,223,2.4225314800263863e-06,151.6,1.0,4.0
54127,48,77,8.364863225079669e-07,65.72,1.0,2.0
4653,101,160,1.7381559289836013e-06,109.5,1.0,2.0
165292,25,25,2.715816559748005e-07,22.0,1.0,2.0
129642,29,33,3.58491591123744e-07,28.939999999999998,1.0,2.0
25293,73,106,1.1514891917041639e-06,79.72,1.0,3.0
173671,24,28,3.04174268496304e-07,25.24,1.0,3.0
63498,44,69,7.495678102784664e-07,59.54,1.0,2.0
48002,51,101,1.0971779476313034e-06,88.25,1.0,4.0
27899,69,102,1.1080320578199833e-06,78.53999999999999,1.0,3.0
21634,80,155,1.6837344315659094e-06,123.4,1.0,2.0
89480,36,51,5.540345453200806e-07,44.7,1.0,3.0
62788,44,63,6.843769283831117e-07,53.54,1.0,4.0
173735,24,28,3.0417262948403355e-07,25.24,1.0,3.0
86025,37,49,5.323082079740132e-07,42.34,1.0,3.0
35956,60,74,8.038941253158077e-07,56.3,1.0,3.0
38325,58,68,7.38709753590645e-07,51.47,1.0,3.0
174987,24,24,2.6072033152986824e-07,21.24,1.0,2.0
16512,94,173,1.879280862290433e-06,129.29,1.0,5.0
89657,36,55,5.974892817298573e-07,48.7,1.0,4.0
99680,34,40,4.345364968197472e-07,34.39,1.0,3.0
46404,52,91,9.8855300996593e-07,77.74,1.0,3.0
68932,42,46,4.997208587790498e-07,37.39,1.0,2.0
153894,26,44,4.779759350834029e-07,40.75,1.0,3.0
104555,33,38,4.128008040452197e-07,32.72,1.0,2.0
1427,234,1308,1.4207080871106935e-05,1035.3899999999999,3.0,6.0
184825,23,24,2.607195842792963e-07,21.47,1.0,2.0
66146,43,65,7.061065359056269e-07,55.97,1.0,3.0
85750,37,49,5.323044536351346e-07,42.34,1.0,2.0
154263,26,27,2.933108960826447e-07,23.75,1.0,3.0
63376,44,66,7.169686875277627e-07,56.54,1.0,3.0
164732,25,29,3.1503646540724734e-07,26.0,1.0,3.0
226710,19,19,2.064058647526715e-07,17.29,1.0,3.0
245528,17,20,2.1726909708082067e-07,18.64,1.0,2.0
154340,26,31,3.3676588726040374e-07,27.75,1.0,3.0
71470,41,55,5.974730181207732e-07,46.8,1.0,3.0
115761,31,37,4.0194743886479935e-07,32.35,1.0,3.0
2188,153,382,4.149489192012966e-06,265.72,1.0,5.0
35725,60,80,8.690731045159365e-07,62.3,1.0,4.0
38336,58,75,8.14749294023411e-07,58.47,1.0,3.0
50231,50,88,9.559718998574039e-07,75.75,1.0,2.0
66057,43,74,8.038749433667771e-07,64.97,1.0,3.0
3389,117,259,2.8135484534842734e-06,191.14,1.0,5.0
163612,25,52,5.648955745173927e-07,49.0,1.0,2.0
164346,25,26,2.8245068597841023e-07,23.0,1.0,3.0
130302,29,41,4.454026212291856e-07,36.94,1.0,3.0
71995,41,43,4.671238664610582e-07,34.8,1.0,2.0
